Product_ID;ProductLabel;CurrencyKey;UnitCost_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate
"0101010101001";"0101001";"23";"41.898";"2012-01-01";"";"2019-04-16"
"0101010101001";"0101001";"23";"43.1222";"2012-10-01";"";"2019-04-16"
"0101010101001";"0101001";"23";"43.8985";"2013-10-01";"";"2019-04-16"
"0101010101001";"0101001";"23";"44.3909";"2014-10-01";"";"2019-04-16"
"0101010101001";"0101001";"23";"46.6868";"2015-10-01";"";"2019-04-16"
"0101010101001";"0101001";"23";"49.1805";"2016-10-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"41.898";"2012-01-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"43.1222";"2012-10-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"43.8985";"2013-10-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"44.3909";"2014-10-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"46.6868";"2015-10-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"49.1805";"2016-10-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"46.8346";"2012-01-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"48.2031";"2012-10-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"49.0709";"2013-10-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"49.6212";"2014-10-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"52.1876";"2015-10-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"54.9751";"2016-10-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"69.619";"2012-01-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"69.619";"2012-01-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"69.619";"2012-01-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"69.619";"2012-01-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"193.5408";"2012-01-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"193.5408";"2012-01-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"193.5408";"2012-01-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101011";"0101011";"23";"193.5408";"2012-01-01";"";"2019-04-16"
"0101010101011";"0101011";"23";"199.1959";"2012-10-01";"";"2019-04-16"
