Product_ID;CurrencyKey;UnitCost_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate
"0101010101001";"23";"49.1805";"2016-10-01";"";"2019-04-16"
"0101010101002";"23";"49.1805";"2016-10-01";"";"2019-04-16"
"0101010101003";"23";"54.9751";"2016-10-01";"";"2019-04-16"
"0101010101004";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101005";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101006";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101007";"23";"81.7198";"2016-10-01";"";"2019-04-16"
"0101010101008";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101009";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101010";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101011";"23";"227.181";"2016-10-01";"";"2019-04-16"
"0101010101012";"23";"265.3665";"2016-10-01";"";"2019-04-16"
"0101010101013";"23";"265.3665";"2016-10-01";"";"2019-04-16"
"0101010101014";"23";"265.3665";"2016-10-01";"";"2019-04-16"
"0101010101015";"23";"265.3665";"2016-10-01";"";"2019-04-16"
"0101010101016";"23";"372.2602";"2016-10-01";"";"2019-04-16"
"0101010101017";"23";"372.2602";"2016-10-01";"";"2019-04-16"
"0101010101018";"23";"372.2602";"2016-10-01";"";"2019-04-16"
"0101010101019";"23";"372.2602";"2016-10-01";"";"2019-04-16"
"0101010101020";"23";"453.6921";"2016-10-01";"";"2019-04-16"
"0101010101021";"23";"453.6921";"2016-10-01";"";"2019-04-16"
"0101010101022";"23";"453.6921";"2016-10-01";"";"2019-04-16"
"0101010101023";"23";"453.6921";"2016-10-01";"";"2019-04-16"
"0101010101024";"23";"664.6612";"2016-10-01";"";"2019-04-16"
"0101010101025";"23";"664.6612";"2016-10-01";"";"2019-04-16"
"0101010101026";"23";"664.6612";"2016-10-01";"";"2019-04-16"
"0101010101027";"23";"664.6612";"2016-10-01";"";"2019-04-16"
"0101010101028";"23";"664.6612";"2016-10-01";"";"2019-04-16"
"0101010101029";"23";"622.078";"2016-10-01";"";"2019-04-16"
"0101010101030";"23";"622.078";"2016-10-01";"";"2019-04-16"
"0101010101031";"23";"622.078";"2016-10-01";"";"2019-04-16"
"0101010101032";"23";"622.078";"2016-10-01";"";"2019-04-16"
"0101010101033";"23";"622.078";"2016-10-01";"";"2019-04-16"
"0101010101034";"23";"360.1853";"2016-10-01";"";"2019-04-16"
"0101010101035";"23";"360.1853";"2016-10-01";"";"2019-04-16"
"0101010101036";"23";"360.1853";"2016-10-01";"";"2019-04-16"
"0101010101037";"23";"736.5182";"2016-10-01";"";"2019-04-16"
"0101010101038";"23";"736.5182";"2016-10-01";"";"2019-04-16"
"0101010101039";"23";"736.5182";"2016-10-01";"";"2019-04-16"
"0101010101040";"23";"736.5182";"2016-10-01";"";"2019-04-16"
"0101010101041";"23";"771.3771";"2016-10-01";"";"2019-04-16"
"0101010101042";"23";"771.3771";"2016-10-01";"";"2019-04-16"
"0101010101043";"23";"771.3771";"2016-10-01";"";"2019-04-16"
"0101010101044";"23";"771.3771";"2016-10-01";"";"2019-04-16"
"0101010101045";"23";"771.3771";"2016-10-01";"";"2019-04-16"
"0101040104001";"23";"567.9526";"2016-10-01";"";"2019-04-16"
"0101040104002";"23";"567.9526";"2016-10-01";"";"2019-04-16"
"0101040104003";"23";"567.9526";"2016-10-01";"";"2019-04-16"
"0101040104004";"23";"683.1032";"2016-10-01";"";"2019-04-16"
"0101040104005";"23";"683.1032";"2016-10-01";"";"2019-04-16"
"0101040104006";"23";"683.1032";"2016-10-01";"";"2019-04-16"
"0101040104007";"23";"683.1032";"2016-10-01";"";"2019-04-16"
"0101040104008";"23";"722.064";"2016-10-01";"";"2019-04-16"
"0101040104009";"23";"722.064";"2016-10-01";"";"2019-04-16"
"0101040104010";"23";"722.064";"2016-10-01";"";"2019-04-16"
"0101040104011";"23";"722.064";"2016-10-01";"";"2019-04-16"
"0101040104012";"23";"585.5588";"2016-10-01";"";"2019-04-16"
"0101040104013";"23";"585.5588";"2016-10-01";"";"2019-04-16"
"0101040104014";"23";"585.5588";"2016-10-01";"";"2019-04-16"
