Brand_ID	ProductLabel	CurrencyKey	UnitCost_EUR	SCD_EffectiveDate	ETL_LoadID	ETL_CreateDate
ctoso0000273	0101001	7	5.1067	01-01-2012		12-01-2018
ctoso0000273	0101001	7	5.2994	10-01-2012		12-01-2018
ctoso0000273	0101001	7	5.2807	10-01-2013		12-01-2018
ctoso0000274	0101002	7	5.1067	01-01-2012		12-01-2018
ctoso0000274	0101002	7	5.2994	10-01-2012		12-01-2018
ctoso0000274	0101002	7	5.2807	10-01-2013		12-01-2018
ctoso0000275	0101003	7	5.7084	01-01-2012		12-01-2018
ctoso0000275	0101003	7	5.9238	10-01-2012		12-01-2018
ctoso0000275	0101003	7	5.9029	10-01-2013		12-01-2018
ctoso0000276	0101004	7	8.4854	01-01-2012		12-01-2018
ctoso0000276	0101004	7	8.8057	10-01-2012		12-01-2018
ctoso0000276	0101004	7	8.7746	10-01-2013		12-01-2018
ctoso0000277	0101005	7	8.4854	01-01-2012		12-01-2018
ctoso0000277	0101005	7	8.8057	10-01-2012		12-01-2018
ctoso0000277	0101005	7	8.7746	10-01-2013		12-01-2018
ctoso0000278	0101006	7	8.4854	01-01-2012		12-01-2018
ctoso0000278	0101006	7	8.8057	10-01-2012		12-01-2018
ctoso0000278	0101006	7	8.7746	10-01-2013		12-01-2018
ctoso0000279	0101007	7	8.4854	01-01-2012		12-01-2018
ctoso0000279	0101007	7	8.8057	10-01-2012		12-01-2018
ctoso0000279	0101007	7	8.7746	10-01-2013		12-01-2018
ctoso0000280	0101008	7	23.5894	01-01-2012		12-01-2018
ctoso0000280	0101008	7	24.4798	10-01-2012		12-01-2018
ctoso0000280	0101008	7	24.3933	10-01-2013		12-01-2018
ctoso0000281	0101009	7	23.5894	01-01-2012		12-01-2018
ctoso0000281	0101009	7	24.4798	10-01-2012		12-01-2018
ctoso0000281	0101009	7	24.3933	10-01-2013		12-01-2018
ctoso0000282	0101010	7	23.5894	01-01-2012		12-01-2018
ctoso0000282	0101010	7	24.4798	10-01-2012		12-01-2018
ctoso0000282	0101010	7	24.3933	10-01-2013		12-01-2018
ctoso0000283	0101011	7	23.5894	01-01-2012		12-01-2018
ctoso0000283	0101011	7	24.4798	10-01-2012		12-01-2018
ctoso0000283	0101011	7	24.3933	10-01-2013		12-01-2018
ctoso0000284	0101012	7	27.5544	01-01-2012		12-01-2018
ctoso0000284	0101012	7	28.5944	10-01-2012		12-01-2018
ctoso0000284	0101012	7	28.4934	10-01-2013		12-01-2018
ctoso0000285	0101013	7	27.5544	01-01-2012		12-01-2018
ctoso0000285	0101013	7	28.5944	10-01-2012		12-01-2018
ctoso0000285	0101013	7	28.4934	10-01-2013		12-01-2018
ctoso0000286	0101014	7	27.5544	01-01-2012		12-01-2018
ctoso0000286	0101014	7	28.5944	10-01-2012		12-01-2018
ctoso0000286	0101014	7	28.4934	10-01-2013		12-01-2018
ctoso0000287	0101015	7	27.5544	01-01-2012		12-01-2018
ctoso0000287	0101015	7	28.5944	10-01-2012		12-01-2018
ctoso0000287	0101015	7	28.4934	10-01-2013		12-01-2018
ctoso0000288	0101016	7	39.002	01-01-2012		12-01-2018
ctoso0000288	0101016	7	38.4639	10-01-2013		12-01-2018
ctoso0000289	0101017	7	39.002	01-01-2012		12-01-2018
ctoso0000289	0101017	7	38.4639	10-01-2013		12-01-2018
ctoso0000290	0101018	7	39.002	01-01-2012		12-01-2018
ctoso0000290	0101018	7	38.4639	10-01-2013		12-01-2018
ctoso0000291	0101019	7	39.002	01-01-2012		12-01-2018
ctoso0000291	0101019	7	38.4639	10-01-2013		12-01-2018
ctoso0000292	0101020	7	47.5337	01-01-2012		12-01-2018
ctoso0000292	0101020	7	46.8779	10-01-2013		12-01-2018
ctoso0000293	0101021	7	47.5337	01-01-2012		12-01-2018
ctoso0000293	0101021	7	46.8779	10-01-2013		12-01-2018
ctoso0000294	0101022	7	47.5337	01-01-2012		12-01-2018
ctoso0000294	0101022	7	46.8779	10-01-2013		12-01-2018
ctoso0000295	0101023	7	47.5337	01-01-2012		12-01-2018
ctoso0000295	0101023	7	46.8779	10-01-2013		12-01-2018
ctoso0000296	0101024	7	70.9148	01-01-2012		12-01-2018
ctoso0000297	0101025	7	70.9148	01-01-2012		12-01-2018
ctoso0000298	0101026	7	70.9148	01-01-2012		12-01-2018
ctoso0000299	0101027	7	70.9148	01-01-2012		12-01-2018
ctoso0000300	0101028	7	70.9148	01-01-2012		12-01-2018
ctoso0000301	0101029	7	65.1756	01-01-2012		12-01-2018
ctoso0000301	0101029	7	64.2764	10-01-2013		12-01-2018
ctoso0000302	0101030	7	65.1756	01-01-2012		12-01-2018
ctoso0000302	0101030	7	64.2764	10-01-2013		12-01-2018
ctoso0000303	0101031	7	65.1756	01-01-2012		12-01-2018
ctoso0000303	0101031	7	64.2764	10-01-2013		12-01-2018
ctoso0000304	0101032	7	65.1756	01-01-2012		12-01-2018
ctoso0000304	0101032	7	64.2764	10-01-2013		12-01-2018
ctoso0000305	0101033	7	65.1756	01-01-2012		12-01-2018
ctoso0000305	0101033	7	64.2764	10-01-2013		12-01-2018
ctoso0000306	0101034	7	37.7369	01-01-2012		12-01-2018
ctoso0000306	0101034	7	37.2163	10-01-2013		12-01-2018
ctoso0000307	0101035	7	37.7369	01-01-2012		12-01-2018
ctoso0000307	0101035	7	37.2163	10-01-2013		12-01-2018
ctoso0000308	0101036	7	37.7369	01-01-2012		12-01-2018
ctoso0000308	0101036	7	37.2163	10-01-2013		12-01-2018
ctoso0000309	0101037	7	76.4766	01-01-2012		12-01-2018
ctoso0000309	0101037	7	79.3632	10-01-2012		12-01-2018
ctoso0000309	0101037	7	79.0828	10-01-2013		12-01-2018
ctoso0000310	0101038	7	76.4766	01-01-2012		12-01-2018
ctoso0000310	0101038	7	79.3632	10-01-2012		12-01-2018
ctoso0000310	0101038	7	79.0828	10-01-2013		12-01-2018
ctoso0000311	0101039	7	76.4766	01-01-2012		12-01-2018
ctoso0000311	0101039	7	79.3632	10-01-2012		12-01-2018
ctoso0000311	0101039	7	79.0828	10-01-2013		12-01-2018
ctoso0000312	0101040	7	76.4766	01-01-2012		12-01-2018
ctoso0000312	0101040	7	79.3632	10-01-2012		12-01-2018
ctoso0000312	0101040	7	79.0828	10-01-2013		12-01-2018
ctoso0000313	0101041	7	82.3007	01-01-2012		12-01-2018
ctoso0000314	0101042	7	82.3007	01-01-2012		12-01-2018
ctoso0000315	0101043	7	82.3007	01-01-2012		12-01-2018
ctoso0000316	0101044	7	82.3007	01-01-2012		12-01-2018
ctoso0000317	0101045	7	82.3007	01-01-2012		12-01-2018
wwim 0000001	0104001	7	58.9735	01-01-2012		12-01-2018
wwim 0000001	0104001	7	61.1994	10-01-2012		12-01-2018
wwim 0000001	0104001	7	60.9832	10-01-2013		12-01-2018
wwim 0000002	0104002	7	58.9735	01-01-2012		12-01-2018
wwim 0000002	0104002	7	61.1994	10-01-2012		12-01-2018
wwim 0000002	0104002	7	60.9832	10-01-2013		12-01-2018
wwim 0000003	0104003	7	58.9735	01-01-2012		12-01-2018
wwim 0000003	0104003	7	61.1994	10-01-2012		12-01-2018
wwim 0000003	0104003	7	60.9832	10-01-2013		12-01-2018
wwim 0000004	0104004	7	70.9302	01-01-2012		12-01-2018
wwim 0000004	0104004	7	73.6074	10-01-2012		12-01-2018
wwim 0000004	0104004	7	73.3474	10-01-2013		12-01-2018
wwim 0000005	0104005	7	70.9302	01-01-2012		12-01-2018
wwim 0000005	0104005	7	73.6074	10-01-2012		12-01-2018
wwim 0000005	0104005	7	73.3474	10-01-2013		12-01-2018
wwim 0000006	0104006	7	70.9302	01-01-2012		12-01-2018
wwim 0000006	0104006	7	73.6074	10-01-2012		12-01-2018
wwim 0000006	0104006	7	73.3474	10-01-2013		12-01-2018
wwim 0000007	0104007	7	70.9302	01-01-2012		12-01-2018
wwim 0000007	0104007	7	73.6074	10-01-2012		12-01-2018
wwim 0000007	0104007	7	73.3474	10-01-2013		12-01-2018
wwim 0000008	0104008	7	75.6512	01-01-2012		12-01-2018
wwim 0000008	0104008	7	74.6075	10-01-2013		12-01-2018
wwim 0000009	0104009	7	75.6512	01-01-2012		12-01-2018
wwim 0000009	0104009	7	74.6075	10-01-2013		12-01-2018
wwim 0000010	0104010	7	75.6512	01-01-2012		12-01-2018
wwim 0000010	0104010	7	74.6075	10-01-2013		12-01-2018
wwim 0000011	0104011	7	75.6512	01-01-2012		12-01-2018
wwim 0000011	0104011	7	74.6075	10-01-2013		12-01-2018
wwim 0000012	0104012	7	61.3494	01-01-2012		12-01-2018
wwim 0000012	0104012	7	60.5031	10-01-2013		12-01-2018
wwim 0000013	0104013	7	61.3494	01-01-2012		12-01-2018
wwim 0000013	0104013	7	60.5031	10-01-2013		12-01-2018
wwim 0000014	0104014	7	61.3494	01-01-2012		12-01-2018
wwim 0000014	0104014	7	60.5031	10-01-2013		12-01-2018
wwim 0000015	0104015	7	61.3494	01-01-2012		12-01-2018
wwim 0000015	0104015	7	60.5031	10-01-2013		12-01-2018
wwim 0000016	0104016	7	64.2113	01-01-2012		12-01-2018
wwim 0000017	0104017	7	64.2113	01-01-2012		12-01-2018
wwim 0000018	0104018	7	64.2113	01-01-2012		12-01-2018
wwim 0000019	0104019	7	64.2113	01-01-2012		12-01-2018
wwim 0000020	0104020	7	64.2113	01-01-2012		12-01-2018
ntrad0000001	0106001	7	10.1053	01-01-2012		12-01-2018
ntrad0000001	0106001	7	10.4868	10-01-2012		12-01-2018
