Brand_ID	CurrencyKey	UnitCost_EUR	SCD_EffectiveDate	ETL_LoadID	ETL_CreateDate
ctoso0000273	7	5.7207	10-01-2014		12-01-2018
ctoso0000273	7	6.5656	10-01-2015		12-01-2018
ctoso0000273	7	6.5951	10-01-2016		12-01-2018
ctoso0000274	7	5.7207	10-01-2014		12-01-2018
ctoso0000274	7	6.5656	10-01-2015		12-01-2018
ctoso0000274	7	6.5951	10-01-2016		12-01-2018
ctoso0000275	7	6.3947	10-01-2014		12-01-2018
ctoso0000275	7	7.3392	10-01-2015		12-01-2018
ctoso0000275	7	7.3722	10-01-2016		12-01-2018
ctoso0000276	7	9.5057	10-01-2014		12-01-2018
ctoso0000276	7	10.9096	10-01-2015		12-01-2018
ctoso0000276	7	10.9586	10-01-2016		12-01-2018
ctoso0000277	7	9.5057	10-01-2014		12-01-2018
ctoso0000277	7	10.9096	10-01-2015		12-01-2018
ctoso0000277	7	10.9586	10-01-2016		12-01-2018
ctoso0000278	7	9.5057	10-01-2014		12-01-2018
ctoso0000278	7	10.9096	10-01-2015		12-01-2018
ctoso0000278	7	10.9586	10-01-2016		12-01-2018
ctoso0000279	7	9.5057	10-01-2014		12-01-2018
ctoso0000279	7	10.9096	10-01-2015		12-01-2018
ctoso0000279	7	10.9586	10-01-2016		12-01-2018
ctoso0000280	7	26.4258	10-01-2014		12-01-2018
ctoso0000280	7	30.3288	10-01-2015		12-01-2018
ctoso0000280	7	30.465	10-01-2016		12-01-2018
ctoso0000281	7	26.4258	10-01-2014		12-01-2018
ctoso0000281	7	30.3288	10-01-2015		12-01-2018
ctoso0000281	7	30.465	10-01-2016		12-01-2018
ctoso0000282	7	26.4258	10-01-2014		12-01-2018
ctoso0000282	7	30.3288	10-01-2015		12-01-2018
ctoso0000282	7	30.465	10-01-2016		12-01-2018
ctoso0000283	7	26.4258	10-01-2014		12-01-2018
ctoso0000283	7	30.3288	10-01-2015		12-01-2018
ctoso0000283	7	30.465	10-01-2016		12-01-2018
ctoso0000284	7	30.8675	10-01-2014		12-01-2018
