Brand_ID	ProductLabel	CurrencyKey	UnitProce_EUR	SCD_EffectiveDate	ETL_LoadID	ETL_CreateDate	ETL_ModifiedDate
ctoso0000100	0602069	7	8.5395	07-01-2014		11-29-2018	04-16-2019
ctoso0000100	0602069	7	10.8611	07-01-2015		11-29-2018	04-16-2019
ctoso0000100	0602069	7	11.1216	07-01-2016		11-29-2018	04-16-2019
ctoso0000101	0602070	7	17.6573	01-01-2012		11-29-2018	04-16-2019
ctoso0000101	0602070	7	18.7898	07-01-2012		11-29-2018	04-16-2019
ctoso0000101	0602070	7	19.1392	07-01-2013		11-29-2018	04-16-2019
ctoso0000101	0602070	7	19.5664	07-01-2014		11-29-2018	04-16-2019
ctoso0000101	0602070	7	24.886	07-01-2015		11-29-2018	04-16-2019
ctoso0000101	0602070	7	25.4828	07-01-2016		11-29-2018	04-16-2019
ctoso0000102	0602071	7	9.7659	01-01-2012		11-29-2018	04-16-2019
ctoso0000102	0602071	7	10.3922	07-01-2012		11-29-2018	04-16-2019
ctoso0000102	0602071	7	10.5855	07-01-2013		11-29-2018	04-16-2019
ctoso0000102	0602071	7	10.8218	07-01-2014		11-29-2018	04-16-2019
ctoso0000102	0602071	7	13.764	07-01-2015		11-29-2018	04-16-2019
ctoso0000102	0602071	7	14.094	07-01-2016		11-29-2018	04-16-2019
ctoso0000103	0602072	7	44.6486	01-01-2012		11-29-2018	04-16-2019
ctoso0000103	0602072	7	46.1757	07-01-2013		11-29-2018	04-16-2019
ctoso0000103	0602072	7	46.093	07-01-2014		11-29-2018	04-16-2019
ctoso0000103	0602072	7	61.354	07-01-2015		11-29-2018	04-16-2019
ctoso0000103	0602072	7	62.3576	07-01-2016		11-29-2018	04-16-2019
ctoso0000104	0602073	7	44.6486	01-01-2012		11-29-2018	04-16-2019
ctoso0000104	0602073	7	46.1757	07-01-2013		11-29-2018	04-16-2019
ctoso0000104	0602073	7	46.093	07-01-2014		11-29-2018	04-16-2019
ctoso0000104	0602073	7	61.354	07-01-2015		11-29-2018	04-16-2019
ctoso0000104	0602073	7	62.3576	07-01-2016		11-29-2018	04-16-2019
ctoso0000105	0602074	7	44.6486	01-01-2012		11-29-2018	04-16-2019
ctoso0000105	0602074	7	46.1757	07-01-2013		11-29-2018	04-16-2019
ctoso0000105	0602074	7	46.093	07-01-2014		11-29-2018	04-16-2019
ctoso0000105	0602074	7	61.354	07-01-2015		11-29-2018	04-16-2019
ctoso0000105	0602074	7	62.3576	07-01-2016		11-29-2018	04-16-2019
ctoso0000106	0602075	7	44.6486	01-01-2012		11-29-2018	04-16-2019
ctoso0000106	0602075	7	46.1757	07-01-2013		11-29-2018	04-16-2019
ctoso0000106	0602075	7	46.093	07-01-2014		11-29-2018	04-16-2019
ctoso0000106	0602075	7	61.354	07-01-2015		11-29-2018	04-16-2019
ctoso0000106	0602075	7	62.3576	07-01-2016		11-29-2018	04-16-2019
ctoso0000107	0602076	7	123.4163	01-01-2012		11-29-2018	04-16-2019
ctoso0000107	0602076	7	131.3313	07-01-2012		11-29-2018	04-16-2019
ctoso0000107	0602076	7	133.7739	07-01-2013		11-29-2018	04-16-2019
ctoso0000107	0602076	7	136.7598	07-01-2014		11-29-2018	04-16-2019
ctoso0000107	0602076	7	173.9411	07-01-2015		11-29-2018	04-16-2019
ctoso0000107	0602076	7	178.1124	07-01-2016		11-29-2018	04-16-2019
ctoso0000108	0602077	7	138.8443	01-01-2012		11-29-2018	04-16-2019
ctoso0000108	0602077	7	147.7488	07-01-2012		11-29-2018	04-16-2019
ctoso0000108	0602077	7	150.4967	07-01-2013		11-29-2018	04-16-2019
ctoso0000108	0602077	7	153.8558	07-01-2014		11-29-2018	04-16-2019
ctoso0000108	0602077	7	195.6851	07-01-2015		11-29-2018	04-16-2019
ctoso0000108	0602077	7	200.3778	07-01-2016		11-29-2018	04-16-2019
ctoso0000109	0602078	7	84.8463	01-01-2012		11-29-2018	04-16-2019
ctoso0000109	0602078	7	90.2877	07-01-2012		11-29-2018	04-16-2019
ctoso0000109	0602078	7	91.9669	07-01-2013		11-29-2018	04-16-2019
ctoso0000109	0602078	7	94.0197	07-01-2014		11-29-2018	04-16-2019
ctoso0000109	0602078	7	119.5811	07-01-2015		11-29-2018	04-16-2019
ctoso0000109	0602078	7	122.4488	07-01-2016		11-29-2018	04-16-2019
ctoso0000110	0602079	7	200.5563	01-01-2012		11-29-2018	04-16-2019
ctoso0000110	0602079	7	213.4185	07-01-2012		11-29-2018	04-16-2019
ctoso0000110	0602079	7	217.3878	07-01-2013		11-29-2018	04-16-2019
ctoso0000110	0602079	7	222.24	07-01-2014		11-29-2018	04-16-2019
ctoso0000110	0602079	7	282.6611	07-01-2015		11-29-2018	04-16-2019
ctoso0000110	0602079	7	289.4396	07-01-2016		11-29-2018	04-16-2019
ctoso0000111	0602080	7	223.6983	01-01-2012		11-29-2018	04-16-2019
ctoso0000111	0602080	7	238.0447	07-01-2012		11-29-2018	04-16-2019
ctoso0000111	0602080	7	242.4719	07-01-2013		11-29-2018	04-16-2019
ctoso0000111	0602080	7	247.884	07-01-2014		11-29-2018	04-16-2019
ctoso0000111	0602080	7	315.2771	07-01-2015		11-29-2018	04-16-2019
ctoso0000111	0602080	7	322.8377	07-01-2016		11-29-2018	04-16-2019
ctoso0000112	0602081	7	123.4163	01-01-2012		11-29-2018	04-16-2019
ctoso0000112	0602081	7	131.3313	07-01-2012		11-29-2018	04-16-2019
ctoso0000112	0602081	7	133.7739	07-01-2013		11-29-2018	04-16-2019
ctoso0000112	0602081	7	136.7598	07-01-2014		11-29-2018	04-16-2019
ctoso0000112	0602081	7	173.9411	07-01-2015		11-29-2018	04-16-2019
ctoso0000112	0602081	7	178.1124	07-01-2016		11-29-2018	04-16-2019
ctoso0000113	0602082	7	138.8443	01-01-2012		11-29-2018	04-16-2019
ctoso0000113	0602082	7	147.7488	07-01-2012		11-29-2018	04-16-2019
ctoso0000113	0602082	7	150.4967	07-01-2013		11-29-2018	04-16-2019
ctoso0000113	0602082	7	153.8558	07-01-2014		11-29-2018	04-16-2019
ctoso0000113	0602082	7	195.6851	07-01-2015		11-29-2018	04-16-2019
ctoso0000113	0602082	7	200.3778	07-01-2016		11-29-2018	04-16-2019
ctoso0000114	0602083	7	84.8463	01-01-2012		11-29-2018	04-16-2019
ctoso0000114	0602083	7	90.2877	07-01-2012		11-29-2018	04-16-2019
ctoso0000114	0602083	7	91.9669	07-01-2013		11-29-2018	04-16-2019
ctoso0000114	0602083	7	94.0197	07-01-2014		11-29-2018	04-16-2019
ctoso0000114	0602083	7	119.5811	07-01-2015		11-29-2018	04-16-2019
ctoso0000114	0602083	7	122.4488	07-01-2016		11-29-2018	04-16-2019
ctoso0000115	0602084	7	200.5563	01-01-2012		11-29-2018	04-16-2019
ctoso0000115	0602084	7	213.4185	07-01-2012		11-29-2018	04-16-2019
ctoso0000115	0602084	7	217.3878	07-01-2013		11-29-2018	04-16-2019
ctoso0000115	0602084	7	222.24	07-01-2014		11-29-2018	04-16-2019
ctoso0000115	0602084	7	282.6611	07-01-2015		11-29-2018	04-16-2019
ctoso0000115	0602084	7	289.4396	07-01-2016		11-29-2018	04-16-2019
ctoso0000116	0602085	7	223.6983	01-01-2012		11-29-2018	04-16-2019
ctoso0000116	0602085	7	238.0447	07-01-2012		11-29-2018	04-16-2019
ctoso0000116	0602085	7	242.4719	07-01-2013		11-29-2018	04-16-2019
ctoso0000116	0602085	7	247.884	07-01-2014		11-29-2018	04-16-2019
ctoso0000116	0602085	7	315.2771	07-01-2015		11-29-2018	04-16-2019
ctoso0000116	0602085	7	322.8377	07-01-2016		11-29-2018	04-16-2019
